provinsi,tingkat_literasi,tingkat_inklusi
 Aceh,49.87,89.87
 Sumatera Utara,51.69,95.58
 Sumatera Barat,40.78,76.88
 Riau,67.27,85.19
 Kepulauan Riau,48.57,87.01
 Jambi,46.49,85.19
 Sumatera Selatan,52.73,88.57
 Bangka Belitung,62.34,79.48
 Bengkulu,30.39,88.05
 Lampung,41.3,74.81
 Banten,45.15,85.71
 DKI Jakarta,52.99,96.62
 Jawa Barat,56.1,88.31
 Jawa Tengah,51.69,85.97
 Yogyakarta,54.55,82.08
 Jawa Timur,55.32,92.99
 Kalimantan Barat,51.95,84.16
 Kalimantan Tengah,32.73,81.3
 Kalimantan Selatan,42.08,81.56
 Kalimantan Timur,57.14,93.25
 Kalimantan Utara,58.7,91.69
 Gorontalo,52.21,88.57
 Sulawesi Utara,50.13,86.23
 Sulawesi Tengah,56.36,78.44
 Sulawesi Barat,46.49,70.39
 Sulawesi Selatan,36.88,88.57
 Sulawesi Tenggara,31.95,84.42
 Maluku,40.78,78.7
 Maluku Utara,49.35,81.04
 Papua,45.19,76.36
 Papua Barat,54.29,81.3
 Nusa Tenggara Barat,65.45,82.34
 Nusa Tenggara Timur,51.95,85.97
 Bali,57.66,92.21
 Jawa Timur,55.32,92.99
